match_id,date,league_code,season,group_id,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,model,cutoff,p_home,p_draw,p_away
4057870,2026-05-27,M2,2026,3,Vaasan Palloseura,FC Vaajakoski,169909,60496,2,2,D,dc_best,2026-05-25,0.8209664070583204,0.09290745416376588,0.08612613877791374
4038088,2026-05-27,M1L,2026,1,Helsingin Jalkapalloklubi,Pallokerho-35,60692,50775,0,1,A,dc_best,2026-05-25,0.26730113956374296,0.25680589253201846,0.4758929679042387
4043038,2026-05-28,M1,2026,1,FC Jazz Juniorit,Salon Palloilijat,60521,60690,1,2,A,dc_best,2026-05-25,0.3030667182663371,0.22695207930633057,0.4699812024273323
4043086,2026-05-28,M1,2026,1,JJK Jyväskylä,Oulun Luistinseura,144858,106449,1,0,H,dc_best,2026-05-25,0.3218461340228468,0.24799166802098935,0.43016219795616384
4043041,2026-05-29,M1,2026,1,KPV Juniorit,Football Club International Turku,60536,60860,4,2,H,dc_best,2026-05-25,0.11180206098111382,0.12788793381346297,0.7603100052054232
4057691,2026-05-29,M2,2026,1,Puistolan Urheilijat,HIFK Soccer,49973,49735,0,2,A,dc_best,2026-05-25,0.35732901455915267,0.21838932303977773,0.4242816624010696
4057783,2026-05-29,M2,2026,2,Ilves,Hämeenlinnan Jalkapalloseura,106905,35121579,0,0,D,dc_best,2026-05-25,0.5440940384766934,0.1889519087314836,0.266954052791823
4057872,2026-05-29,M2,2026,3,Äänekosken Huima,Gamlakarleby Bollklubb,35117343,60492,1,2,A,dc_best,2026-05-25,0.5797676605011101,0.1681495609204881,0.25208277857840194
4057871,2026-05-29,M2,2026,3,Jakobstads Bollklubb,Fotbollsföreningen JARO Jalkapalloseura,61766,144364,0,3,A,dc_best,2026-05-25,0.4951604740740612,0.21505158811000932,0.2897879378159295
4057690,2026-05-29,M2,2026,1,Union Plaani,Football Club Kiffen 08,61723,60554,0,2,A,dc_best,2026-05-25,0.22155426122288624,0.15977577353028533,0.6186699652468284
4057781,2026-05-29,M2,2026,2,Nurmijärven Jalkapalloseura,FC Honka,60537,62416,0,2,A,dc_best,2026-05-25,0.029611036959774517,0.048753978183458134,0.9216349848567674
4038083,2026-05-29,M1L,2026,1,FC KTP Kotka,SJK Akatemia,60972,168874,1,0,H,dc_best,2026-05-25,0.5722107993931295,0.21547697614072114,0.2123122244661494
4038084,2026-05-29,M1L,2026,1,Football Club Haka,Jippo,60561,129811,2,1,H,dc_best,2026-05-25,0.41406582532359093,0.24706702279237128,0.3388671518840378
4043040,2026-05-29,M1,2026,1,Pallokerho Keski-Uusimaa,Kuopion Palloseura,60929,106331,3,0,H,dc_best,2026-05-25,0.5149308042595858,0.24514139997963133,0.2399277957607829
4038209,2026-05-29,NL,2026,1,Helsingin Palloseura,Kuopion Palloseura,60781,157420,3,2,H,dc_best,2026-05-25,0.29963351737871297,0.21039858100566894,0.48996790161561815
4038206,2026-05-29,NL,2026,1,Helsingin Jalkapalloklubi,Idrottsföreningen Kamraterna Vasa,60682,60691,4,0,H,dc_best,2026-05-25,0.9753595311472892,0.017717770805256595,0.0069226980474541774
4057780,2026-05-29,M2,2026,2,GrIFK - Fotboll,Pallo-Iirot,60549,107307,1,1,D,dc_best,2026-05-25,0.29190924273518515,0.2195240480955262,0.48856670916928874
4043039,2026-05-29,M1,2026,1,Tampereen Pallo-Veikot,Jalkapalloseura Tampere United,60704,106945,0,3,A,dc_best,2026-05-25,0.1980909635363901,0.2607893535707021,0.5411196828929078
4038085,2026-05-29,M1L,2026,1,Käpylän Pallo,Järvenpään Palloseura,60487,60676,2,1,H,dc_best,2026-05-25,0.3921785153836517,0.21594877810059535,0.3918727065157529
