league_code,date,week,hg,ag,lam_h,lam_a
SW-EN,2025-09-07,2025-09-01/2025-09-07,0,5,0.9014754341019096,2.232549305123521
SW-EN,2025-09-07,2025-09-01/2025-09-07,1,2,1.2818541960535748,0.7674425121642934
SW-EN,2025-09-07,2025-09-01/2025-09-07,2,0,1.456724174639883,1.3195167381410577
NL,2025-09-07,2025-09-01/2025-09-07,10,0,2.620711174032671,1.0554169355158778
NO-1DK,2025-09-07,2025-09-01/2025-09-07,2,4,2.274737540261798,1.3951484579799023
NO-1DK,2025-09-07,2025-09-01/2025-09-07,0,1,0.70166274327808,2.108575540689767
NO-PN2,2025-09-07,2025-09-01/2025-09-07,0,3,1.7670864888171418,1.4651402916071399
NO-PN2,2025-09-07,2025-09-01/2025-09-07,5,1,2.3724768705278017,1.678774191444095
NO-1DK,2025-09-07,2025-09-01/2025-09-07,0,3,0.6690146088042151,1.2634380335503037
NO-1DK,2025-09-07,2025-09-01/2025-09-07,3,1,2.691164031193116,0.8531733458301107
NO-PN1,2025-09-07,2025-09-01/2025-09-07,3,2,0.9117522692913365,2.05876581053552
NO-1DK,2025-09-07,2025-09-01/2025-09-07,1,1,1.1471922215762542,1.6269201416647037
NO-PN1,2025-09-07,2025-09-01/2025-09-07,4,3,1.9721853402586784,1.55187047314918
M2,2025-09-07,2025-09-01/2025-09-07,2,6,2.6565494386509543,3.342901670130346
M2,2025-09-07,2025-09-01/2025-09-07,5,1,2.4508053805577377,1.9499536895268081
M2,2025-09-07,2025-09-01/2025-09-07,2,0,2.4044976640290336,1.438220587480771
M2,2025-09-07,2025-09-01/2025-09-07,3,1,1.739656568993382,1.440130197095863
NO-PN1,2025-09-07,2025-09-01/2025-09-07,3,1,1.7616108736187401,1.0630241832992637
NO-TS,2025-09-07,2025-09-01/2025-09-07,4,3,3.1317232582791514,0.8982339329813261
SW-DA,2025-09-07,2025-09-01/2025-09-07,3,3,2.004660681667031,1.1095821839523068
