match_id,league_code,country,date,hg,ag,lam_h,lam_a,rho,known
206007-9-kvik-halden,NO-PN1,NOR,2026-05-31,4,0,1.3882778878239714,0.7999499567859096,-0.12104698739912863,True
6529907,SW-AL,SWE,2026-05-31,2,2,1.3169175109282523,1.385551954992518,-0.024816161569286052,True
4038087,M1L,FIN,2026-05-31,1,0,1.571071825578852,1.7999677279060275,0.208359544174477,True
4038086,M1L,FIN,2026-05-31,1,1,1.3005813868011191,0.6557305154557831,0.208359544174477,True
4057873,M2,FIN,2026-05-31,1,2,3.4347868836045947,2.2192889031119867,0.10891966780118373,True
4057692,M2,FIN,2026-05-31,2,2,1.3627040696413661,1.378079189658359,0.10891966780118373,True
6529908,SW-AL,SWE,2026-05-31,4,5,1.8270138451194537,1.2297658664079645,-0.024816161569286052,True
4038207,NL,FIN,2026-05-31,1,4,2.220515960507006,2.9207223888917886,0.1817075624420907,True
4038208,NL,FIN,2026-05-31,0,2,2.041304948351517,2.115062404504857,0.1817075624420907,True
4036905,VL,FIN,2026-05-31,2,1,1.9357113468568898,0.7865122986169157,-0.11498932484651815,True
4057693,M2,FIN,2026-05-31,1,0,3.866690953987725,2.4332193036483214,0.10891966780118373,True
206119-9-lyn,NO-TS,NOR,2026-05-31,2,0,1.0624933898150295,1.8299103135211174,-0.16232146440586404,True
6529904,SW-AL,SWE,2026-05-31,3,2,1.3517520479797542,1.8283550079178774,-0.024816161569286052,True
6538019,SW-ES,SWE,2026-06-01,1,0,0.6830644951019657,1.2929804218665972,-0.09413687464234555,True
6537774,SW-EN,SWE,2026-06-01,2,3,1.898173633504226,0.9608517378796997,-0.16379877361087342,True
6538016,SW-ES,SWE,2026-06-02,1,2,1.4915426912027963,1.0467169929338824,-0.09413687464234555,True
4043043,M1,FIN,2026-06-02,1,1,1.531198677206346,1.3693887445936106,-0.03142458636080207,True
6537773,SW-EN,SWE,2026-06-02,4,2,1.4937321043450584,2.073179594397339,-0.16379877361087342,True
4043042,M1,FIN,2026-06-02,2,2,1.3214201846066196,1.3802339157669283,-0.03142458636080207,True
6538014,SW-ES,SWE,2026-06-03,1,3,1.4059816982962783,1.9426236695062369,-0.09413687464234555,True
6537780,SW-EN,SWE,2026-06-03,3,1,1.7854330750206768,1.567736222917669,-0.16379877361087342,True
6538024,SW-ES,SWE,2026-06-04,1,2,1.3120393895884948,2.3621402732100543,-0.09413687464234555,True
4057786,M2,FIN,2026-06-04,2,0,2.211218735970847,1.0221654457171927,0.02769230634039254,True
6537781,SW-EN,SWE,2026-06-04,3,2,1.7394731026263903,1.9484913407939657,-0.16379877361087342,True
4057694,M2,FIN,2026-06-04,2,1,1.6685192196287035,1.375550156363717,0.02769230634039254,True
4057784,M2,FIN,2026-06-05,0,0,2.713899673952205,1.7037191813822516,0.02769230634039254,True
4057874,M2,FIN,2026-06-05,1,5,1.5555027629908484,2.4696254920623204,0.02769230634039254,True
4043044,M1,FIN,2026-06-05,4,1,2.62057678018201,1.2530317483653026,-0.03142458636080207,True
4038090,M1L,FIN,2026-06-05,1,2,1.899648703806497,0.8818461097415202,0.2258507324172553,True
4038089,M1L,FIN,2026-06-05,1,2,1.008500344106344,1.3033503643779063,0.2258507324172553,True
6537782,SW-EN,SWE,2026-06-05,2,3,0.7948409372221104,0.8576148265862024,-0.16379877361087342,True
4057878,M2,FIN,2026-06-06,0,4,2.6879895301518912,2.2553674990765398,0.02769230634039254,True
4057785,M2,FIN,2026-06-06,4,1,3.282492532161532,0.7672364293819655,0.02769230634039254,True
4057695,M2,FIN,2026-06-06,0,2,1.2699166605081749,2.6545660209323843,0.02769230634039254,True
4057696,M2,FIN,2026-06-06,3,2,1.9830081477173935,1.9168966083053873,0.02769230634039254,True
4057875,M2,FIN,2026-06-06,7,1,1.943556804993088,2.624872684542069,0.02769230634039254,True
4057876,M2,FIN,2026-06-06,0,1,2.7036962795635886,1.6448650757160348,0.02769230634039254,True
4043046,M1,FIN,2026-06-06,1,1,1.1795399709342906,1.6359967620666498,-0.03142458636080207,True
4057787,M2,FIN,2026-06-06,1,3,1.5834354019946757,1.0204839784322048,0.02769230634039254,True
4057697,M2,FIN,2026-06-06,1,3,1.1128810584090065,2.0266331729761164,0.02769230634039254,True
4038091,M1L,FIN,2026-06-06,1,0,1.6987642716923788,1.2427385364631187,0.2258507324172553,True
4057877,M2,FIN,2026-06-06,1,1,1.694375725195119,1.340786596392377,0.02769230634039254,True
6538022,SW-ES,SWE,2026-06-06,4,1,1.8170616018449737,1.0182287425735592,-0.09413687464234555,True
4043049,M1,FIN,2026-06-06,1,3,1.612441680129792,1.199450783867513,-0.03142458636080207,True
4043045,M1,FIN,2026-06-06,1,1,1.626904242315531,2.258336238620679,-0.03142458636080207,True
4043048,M1,FIN,2026-06-06,5,0,1.7996196807543599,1.335872189119974,-0.03142458636080207,True
6537785,SW-EN,SWE,2026-06-06,0,4,0.838090581456333,2.600692223382507,-0.16379877361087342,True
4043047,M1,FIN,2026-06-06,0,1,1.4863215115271355,1.2715085003250532,-0.03142458636080207,True
6538025,SW-ES,SWE,2026-06-07,4,0,2.1466079169674956,0.678583128074743,-0.09413687464234555,True
6538028,SW-ES,SWE,2026-06-07,2,2,1.2618601826377909,0.7239588516803424,-0.09413687464234555,True
6537786,SW-EN,SWE,2026-06-07,0,2,1.5726496392264868,2.242977885093232,-0.16379877361087342,True
6537783,SW-EN,SWE,2026-06-07,2,0,2.030749132485904,1.0484862218674478,-0.16379877361087342,True
206093-1-ranheim-tf,NO-OBOS,NOR,2026-06-07,2,2,5.1441041240722685,1.3743709174119643,-0.03378726177609461,True
6538021,SW-ES,SWE,2026-06-07,2,1,2.4955676136063882,1.4077230008758403,-0.09413687464234555,True
6537787,SW-EN,SWE,2026-06-07,1,1,1.0953935704197384,1.3443033264739113,-0.16379877361087342,True
6538023,SW-ES,SWE,2026-06-07,1,1,1.1497954792287695,1.7732349410931323,-0.09413687464234555,True
6537788,SW-EN,SWE,2026-06-08,4,1,1.5876578797318417,1.3625870049035884,-0.18531742170209478,True
6537784,SW-EN,SWE,2026-06-08,1,6,2.29203224648889,1.8720709554494501,-0.18531742170209478,True
4038043,M1L,FIN,2026-06-08,0,2,1.289321922165515,1.1347161433938107,0.24047339615685878,True
4057698,M2,FIN,2026-06-08,2,0,2.6017553751393723,1.3305287806291424,-0.013494700657816829,True
6538027,SW-ES,SWE,2026-06-08,1,1,1.9750849767611331,1.3968221416278392,-0.08506785208622672,True
6538026,SW-ES,SWE,2026-06-08,0,1,0.7821737068084788,2.109907463329636,-0.08506785208622672,True
4038092,M1L,FIN,2026-06-09,0,0,0.7253220588925051,1.2617530635956047,0.24047339615685878,True
6536039,SW-SE,SWE,2026-06-09,2,2,1.6173099461073905,1.3105707382114327,0.09126797825194344,True
6536033,SW-SE,SWE,2026-06-09,3,0,1.8067553342165343,1.5861063406766875,0.09126797825194344,True
6536035,SW-SE,SWE,2026-06-09,1,2,1.0690325640421696,1.4675626449571524,0.09126797825194344,True
6536036,SW-SE,SWE,2026-06-09,4,2,1.1004822889550896,1.5301435678007296,0.09126797825194344,True
6536038,SW-SE,SWE,2026-06-09,1,1,2.083555493321514,1.4482274621497837,0.09126797825194344,True
6536037,SW-SE,SWE,2026-06-10,2,0,2.1808187297646455,1.166034038363551,0.09126797825194344,True
6536034,SW-SE,SWE,2026-06-10,0,1,1.3605413687676107,0.9691844381803523,0.09126797825194344,True
6536032,SW-SE,SWE,2026-06-11,0,3,1.686476145914052,1.3822605050210268,0.09126797825194344,True
4043050,M1,FIN,2026-06-11,3,0,1.2520119672791743,1.1192519234865521,-0.07288426302764642,True
4057699,M2,FIN,2026-06-11,3,3,2.6601982377794684,1.6023034910793423,-0.013494700657816829,True
6538033,SW-ES,SWE,2026-06-12,1,4,1.524516610443859,1.385655917154633,-0.08506785208622672,True
4038210,NL,FIN,2026-06-12,1,2,1.1138796781193787,2.8605265791430736,0.14113431378258842,True
4057789,M2,FIN,2026-06-12,2,2,0.993167721234021,1.5371149737341354,-0.013494700657816829,True
4057880,M2,FIN,2026-06-12,3,0,1.7661880951248576,1.0663875950456518,-0.013494700657816829,True
4057703,M2,FIN,2026-06-12,1,2,2.2169377363603315,1.6943361997320827,-0.013494700657816829,True
4038211,NL,FIN,2026-06-12,2,3,1.3967477124694807,2.26649641137135,0.14113431378258842,True
4057791,M2,FIN,2026-06-12,0,2,2.6965897931292906,1.3001009018160838,-0.013494700657816829,True
4038093,M1L,FIN,2026-06-12,5,1,1.7416154356306492,1.2127713127516941,0.24047339615685878,True
4038094,M1L,FIN,2026-06-12,0,5,0.7800277532432176,1.0361565043157688,0.24047339615685878,True
6537796,SW-EN,SWE,2026-06-12,2,0,2.002394079370831,1.327347615434695,-0.18531742170209478,True
4043053,M1,FIN,2026-06-12,1,1,2.3142556715796587,1.853973685839357,-0.07288426302764642,True
4043052,M1,FIN,2026-06-12,4,3,2.617259220074393,1.3889038513995509,-0.07288426302764642,True
6529603,SW-DA,SWE,2026-06-12,1,1,1.3525431347592618,1.5743652459064097,0.32028573577263053,True
206008-10-follo,NO-PN2,NOR,2026-06-12,1,4,1.3435990631963317,2.2031675098725394,0.12041311273568203,True
4038095,M1L,FIN,2026-06-13,3,0,1.6099770658638237,0.8229437627119932,0.24047339615685878,True
4036909,VL,FIN,2026-06-13,1,1,0.8543996840753662,1.123527232605251,-0.09553065960530104,True
4036906,VL,FIN,2026-06-13,1,0,1.3613322356517963,1.3579470960212727,-0.09553065960530104,True
4036907,VL,FIN,2026-06-13,0,0,1.4238412808829821,0.8336027737279472,-0.09553065960530104,True
4057702,M2,FIN,2026-06-13,2,1,1.370663766746085,1.173937555832354,-0.013494700657816829,True
4057700,M2,FIN,2026-06-13,4,2,3.6247414372436553,0.8431115012598093,-0.013494700657816829,True
6537793,SW-EN,SWE,2026-06-13,3,3,1.447058070125409,1.8162012903713143,-0.18531742170209478,True
4057792,M2,FIN,2026-06-13,1,5,1.07539475116483,2.298307933784181,-0.013494700657816829,True
6538035,SW-ES,SWE,2026-06-13,4,2,2.6351469667680782,0.7542489382764377,-0.08506785208622672,True
4057701,M2,FIN,2026-06-13,1,1,2.0434162334949226,1.4076446137355154,-0.013494700657816829,True
4038212,NL,FIN,2026-06-13,4,0,2.8581221126436787,1.2726393697351854,0.14113431378258842,True
4043054,M1,FIN,2026-06-13,2,3,1.2987915127012046,2.730307257817693,-0.07288426302764642,True
4043051,M1,FIN,2026-06-13,0,2,1.5498204989274995,1.1059115203937662,-0.07288426302764642,True
206119-10-v-lerenga-fotball,NO-TS,NOR,2026-06-13,0,3,0.8499244694084754,2.182564451725334,-0.06314930935257622,True
206119-10-stab-k,NO-TS,NOR,2026-06-13,2,1,1.6497919005363482,1.258871933750165,-0.06314930935257622,True
206119-10-r-a-fotball-elite,NO-TS,NOR,2026-06-13,1,1,1.250620034877384,1.0638133862723111,-0.06314930935257622,True
206119-10-lyn,NO-TS,NOR,2026-06-13,4,4,0.8749141443644067,1.1772296424050657,-0.06314930935257622,True
206119-10-lsk-kvinner,NO-TS,NOR,2026-06-13,0,3,1.40983149169254,2.1177691084373564,-0.06314930935257622,True
206119-10-haugesund,NO-TS,NOR,2026-06-13,2,1,3.202801546072129,1.0451617483022726,-0.06314930935257622,True
4057793,M2,FIN,2026-06-13,1,7,1.0090089953701444,2.8136768290564933,-0.013494700657816829,True
6538031,SW-ES,SWE,2026-06-13,1,1,1.8560425771249909,1.4989982568741251,-0.08506785208622672,True
6538036,SW-ES,SWE,2026-06-13,4,0,2.4104618124469868,1.535433840448221,-0.08506785208622672,True
6538029,SW-ES,SWE,2026-06-13,3,2,2.3839064997149024,1.655476615140538,-0.08506785208622672,True
6529604,SW-DA,SWE,2026-06-13,4,0,1.6819773706165002,1.496429065385942,0.32028573577263053,True
6529601,SW-DA,SWE,2026-06-13,0,1,1.4358129274915061,1.0650421927811407,0.32028573577263053,True
6529599,SW-DA,SWE,2026-06-13,1,1,0.5791459158901028,1.2748796320391642,0.32028573577263053,True
6529598,SW-DA,SWE,2026-06-13,3,0,1.6797562122033043,1.140883617756832,0.32028573577263053,True
6538034,SW-ES,SWE,2026-06-13,2,1,0.7066483326986547,0.9589142425688495,-0.08506785208622672,True
6537792,SW-EN,SWE,2026-06-13,2,0,2.1683471217114385,0.7778518422222566,-0.18531742170209478,True
4057790,M2,FIN,2026-06-13,1,2,1.3966459594891707,1.6600866454084036,-0.013494700657816829,True
6537791,SW-EN,SWE,2026-06-13,2,3,1.04883065240427,1.6969596348761782,-0.18531742170209478,True
206008-10-ullensaker-kisa,NO-PN2,NOR,2026-06-13,2,1,1.513307689886796,2.8468233346841636,0.12041311273568203,True
6536392,SW-EE,SWE,2026-06-13,3,4,0.7027380573174598,1.1610455608160195,-0.05252195203992693,True
6536389,SW-EE,SWE,2026-06-13,1,1,1.096718834333953,0.8876757497993342,-0.05252195203992693,True
4036910,VL,FIN,2026-06-13,2,3,1.8341903798183594,1.0883336914592732,-0.09553065960530104,True
4036911,VL,FIN,2026-06-13,0,3,1.3026807639266016,1.5652693611102664,-0.09553065960530104,True
6536388,SW-EE,SWE,2026-06-13,0,0,1.2171114091530075,0.8882478521867219,-0.05252195203992693,True
206107-9-sane,NO-1DK,NOR,2026-06-13,1,0,3.108070463760844,0.8351601463431044,-0.2995641941897434,True
4036908,VL,FIN,2026-06-13,2,5,1.105266661066591,1.7574641961701845,-0.09553065960530104,True
206007-10-vidar,NO-PN1,NOR,2026-06-13,1,1,0.8481187290483821,1.750551891631241,-0.15330148850997566,True
206107-9-odds-ballklubb,NO-1DK,NOR,2026-06-13,3,3,1.0511852195290534,2.007689601832329,-0.2995641941897434,True
206007-10-mj-ndalen,NO-PN1,NOR,2026-06-13,3,3,1.1275170245991488,1.0398077319248027,-0.15330148850997566,True
6529600,SW-DA,SWE,2026-06-13,1,1,1.2906332756598378,1.2232959862369843,0.32028573577263053,True
6529602,SW-DA,SWE,2026-06-13,1,2,1.834793200845641,1.3387363411931132,0.32028573577263053,True
206007-10-fk-eik-t-nsberg-871,NO-PN1,NOR,2026-06-13,0,0,1.3094613661929362,1.496428591993031,-0.15330148850997566,True
206107-9-ik-start-kvinner,NO-1DK,NOR,2026-06-14,4,2,2.4043471927646825,1.232051538034384,-0.2995641941897434,True
4038213,NL,FIN,2026-06-14,0,3,0.8115106114488726,2.4022202177172494,0.14113431378258842,True
6536394,SW-EE,SWE,2026-06-14,1,2,1.0350472366103216,1.4372508882399433,-0.05252195203992693,True
6538032,SW-ES,SWE,2026-06-14,0,2,1.2730078895885075,1.7199747409653934,-0.08506785208622672,True
6538030,SW-ES,SWE,2026-06-14,3,0,1.4325919657924362,0.7672865527247348,-0.08506785208622672,True
6536393,SW-EE,SWE,2026-06-14,2,1,1.524884786342147,1.0047458832539173,-0.05252195203992693,True
4057882,M2,FIN,2026-06-14,3,2,2.0730101419675506,2.151850355289527,-0.013494700657816829,True
4057881,M2,FIN,2026-06-14,2,1,3.4744324316150648,1.5432435312588226,-0.013494700657816829,True
4057883,M2,FIN,2026-06-14,1,3,3.1532372247560434,2.623930614365912,-0.013494700657816829,True
4057879,M2,FIN,2026-06-14,3,4,2.679928221949669,1.2188544670440677,-0.013494700657816829,True
206093-11-sogndal,NO-OBOS,NOR,2026-06-14,2,4,2.128431904754287,1.6211067411485116,-0.029564228496211896,True
6536390,SW-EE,SWE,2026-06-14,1,2,1.7038880924189588,1.9962000550064183,-0.05252195203992693,True
6536391,SW-EE,SWE,2026-06-14,3,0,3.812982089297612,1.0962724004255713,-0.05252195203992693,True
6536046,SW-SE,SWE,2026-06-14,3,2,1.461944861868715,1.4080695292482772,0.09126797825194344,True
4038096,M1L,FIN,2026-06-14,2,2,0.9664430916253101,0.8212011078885985,0.24047339615685878,True
206093-11-sane,NO-OBOS,NOR,2026-06-14,2,1,1.313641363098863,1.8761912123890239,-0.029564228496211896,True
4043055,M1,FIN,2026-06-14,2,2,2.135606557708305,0.6819758973384783,-0.07288426302764642,True
206107-9-bryne,NO-1DK,NOR,2026-06-14,2,1,0.7148130304208832,1.5370967563512568,-0.2995641941897434,True
206107-9-kolbotn-il-elite,NO-1DK,NOR,2026-06-14,5,0,1.8623661579323514,0.6174450627751117,-0.2995641941897434,True
206107-9-klepp,NO-1DK,NOR,2026-06-14,1,9,1.246608039359262,3.6327334361623387,-0.2995641941897434,True
206093-11-str-msgodset,NO-OBOS,NOR,2026-06-14,6,1,2.9087559099908473,0.8150585279099842,-0.029564228496211896,True
206093-11-stab-k,NO-OBOS,NOR,2026-06-14,3,1,1.962966401240141,1.0837322649390344,-0.029564228496211896,True
6537790,SW-EN,SWE,2026-06-14,1,1,1.563854653937034,2.172743537301941,-0.18531742170209478,True
6537795,SW-EN,SWE,2026-06-14,3,1,0.9985819912466961,1.167033668027859,-0.18531742170209478,True
206008-10-l-renskog,NO-PN2,NOR,2026-06-14,6,0,1.5203878499469712,1.1335393855311429,0.12041311273568203,True
