match_id,league_code,date,home_elo,away_elo,elo_diff,home_form5_pts,away_form5_pts,form5_pts_diff,home_mom5,away_mom5,mom5_diff,home_adj_form5,away_adj_form5,adj_form5_diff,home_sos5,away_sos5,sos5_diff,home_ppg_vs_stronger8,away_ppg_vs_stronger8,ppg_vs_stronger8_diff,home_gp,away_gp,gp_diff
4038064,M1L,2026-05-02,1504.5666498683827,1531.7880278742903,-27.22137800590758,8.0,10.0,-2.0,3.062456298052439,-0.8083057853525588,3.8707620834049976,0.5510723246808091,0.6208171709309048,-0.0697448462500957,1515.1136752756445,1491.4172392288392,23.696436046805275,1.5,0.0,1.5,31,31,0
4038065,M1L,2026-05-02,1445.8939750967138,1449.5626129372654,-3.6686378405515825,0.0,4.0,-4.0,-49.20993827245297,-24.79728481693587,-24.412653455517102,-2.4738840736141685,-0.7740720906156577,-1.6998119829985108,1472.4127621135808,1508.5664490636832,-36.15368695010238,0.75,1.0,-0.25,31,31,0
4038066,M1L,2026-05-02,1455.1301383706536,1561.0334484807056,-105.90331011005196,8.0,9.0,-1.0,12.002018961551357,18.73635052283089,-6.734331561279532,0.7858066619777393,0.4949587332048633,0.290847928772876,1465.4981056338563,1489.38892788694,-23.890822253083797,1.5714285714285714,3.0,-1.4285714285714286,31,31,0
4038067,M1L,2026-05-03,1485.2857068006572,1528.3487004382782,-43.06299363762105,6.0,7.0,-1.0,3.671384465305664,,,-0.5015222259328657,1.1811958515949263,-1.6827180775277921,1508.73258408102,1531.0826697468474,-22.350085665827464,1.4,2.0,-0.6000000000000001,31,3,28
4038068,M1L,2026-05-07,1520.9168142925726,1488.465575102954,32.45123918961849,7.0,6.0,1.0,4.028398520624023,-11.534424897045938,15.56282341766996,-0.34833722793976096,-0.4806010373769065,0.13226380943714555,1498.7025005801074,1472.0857464238209,26.61675415628656,0.0,1.5,-1.5,32,5,27
4038069,M1L,2026-05-08,1498.220388684717,1496.7011862754628,1.5192024092541487,5.0,6.0,-1.0,,-0.6210539475830501,,-0.07415047147013354,-0.45151957485723604,0.3773691033871025,1492.9008473574145,1513.3488855959847,-20.448038238570234,2.0,1.8,0.19999999999999996,4,32,-28
4038070,M1L,2026-05-09,1516.9332209634726,1444.7064214366262,72.22679952684643,7.0,8.0,-1.0,,8.435642953438219,,0.7055508734780308,1.0218642796804196,-0.3163134062023888,1519.6334290102998,1503.1151065558656,16.518322454434156,2.0,1.1428571428571428,0.8571428571428572,4,32,-28
4038071,M1L,2026-05-09,1451.4913580723055,1515.4378634501004,-63.94650537779489,5.0,10.0,-5.0,-16.648985039735635,24.096949374057203,-40.74593441379284,-0.17752054368989517,1.007186106453636,-1.1847066501435313,1494.367560928636,1511.6403930737447,-17.272832145108623,0.6666666666666666,2.0,-1.3333333333333335,32,32,0
4038072,M1L,2026-05-09,1571.457165414733,1443.9652299616737,127.49193545305934,11.0,1.0,10.0,22.302726530944028,-61.30196290178014,83.60468943272417,0.926133722921418,-2.128606127199572,3.05473985012099,1482.146772745862,1462.8608366564247,19.285936089437428,3.0,0.8,2.2,32,32,0
4038076,M1L,2026-05-16,1527.3015618454094,1524.574695323364,2.726866522045384,12.0,10.0,2.0,36.03616495019628,24.57469532336404,11.46146962683224,1.337978321165625,1.023945638473503,0.31403268269212203,1492.0926734752823,1504.6480274955652,-12.555354020282948,2.0,2.0,0.0,33,5,28
4038073,M1L,2026-05-17,1486.804053305664,1439.6276596769965,47.17639362866748,6.0,2.0,4.0,-20.733602766372314,-16.124191443866494,-4.609411322505821,-0.47940906083773593,-1.1491880931746108,0.6697790323368749,1507.137581780303,1497.455133618656,9.682448161647017,1.5,0.5,1.0,33,33,0
4038074,M1L,2026-05-17,1437.0649470767348,1529.796952479061,-92.7320054023262,5.0,7.0,-2.0,16.883268352438563,0.5200447159343184,16.363223636504244,0.01857126252873209,-0.3628225245971952,0.3813937871259273,1507.4913953456676,1494.8880843862912,12.603310959376358,1.1428571428571428,,,33,33,0
4038075,M1L,2026-05-17,1479.5854369164656,1565.5445335001953,-85.95909658372966,6.0,11.0,-5.0,-20.414563083534404,16.31457743557621,-36.729140519110615,-0.3732600121337549,0.8433026115748998,-1.2165626237086546,1485.118739058163,1472.6867393591542,12.431999699008884,1.0,,,6,33,-27
4038077,M1L,2026-05-18,1508.1175216545157,1449.8778618762115,58.23965977830426,8.0,2.0,6.0,8.117521654515713,-45.173915138251914,53.29143679276763,0.3382300689381542,-1.1973482119376175,1.5355782808757716,1493.6609151410241,1493.115933994512,0.5449811465121002,2.0,0.8333333333333334,1.1666666666666665,5,33,-28
4038078,M1L,2026-05-22,1513.1582892460951,1468.480367644327,44.67792160176805,9.0,6.0,3.0,17.968207108660636,-20.063309563348867,38.0315166720095,0.3571263882763588,-0.4373793333800918,0.7945057216564506,1501.2847687474118,1498.227645758202,3.0571229892098017,2.0,0.75,1.25,34,7,27
4038079,M1L,2026-05-22,1431.2162868108242,1504.1843533280417,-72.9680665172175,1.0,8.0,-7.0,-35.99188710236285,4.184353328041652,-40.176240430404505,-1.54188707178217,0.03626848943940075,-1.5781555612215707,1507.4920969245798,1475.9355489023878,31.55654802219192,0.5,2.0,-1.5,34,6,28
4038080,M1L,2026-05-23,1495.2154261718363,1438.1921376413572,57.02328853047902,9.0,5.0,4.0,-3.0944445939330762,1.5729008653117944,-4.667345459244871,0.38977119710368313,0.10776264523837248,0.28200855186531065,1486.0020595512226,1520.0091510588422,-34.007091507619634,1.2,1.2857142857142858,-0.08571428571428585,34,34,0
4038081,M1L,2026-05-23,1576.6496027723338,1528.6697619144386,47.97984085789517,11.0,7.0,4.0,31.344331949936077,-9.83493115495503,41.179263104891106,0.7873074427297687,-0.27170923222745447,1.0590166749572232,1468.9418525892934,1482.301073801638,-13.359221212344664,,,,34,34,0
4038082,M1L,2026-05-23,1453.8110302026855,1538.7179679226783,-84.90693771999281,3.0,10.0,-7.0,-24.80318876002866,38.717967922678326,-63.52115668270699,-0.641917290416696,1.2146567650188285,-1.8565740554355243,1495.7014218979282,1512.3996044231117,-16.698182525183483,0.5,2.3333333333333335,-1.8333333333333335,34,6,28
4038088,M1L,2026-05-27,1442.6698147156121,1544.283639872376,-101.61382515676382,3.0,7.0,-4.0,-26.547230457073965,9.09285638447841,-35.640086841552375,-0.7146789588674058,-0.11110283390292941,-0.6035761249644764,1506.2728319941941,1503.9866790493857,2.286152944808464,0.42857142857142855,3.0,-2.5714285714285716,35,35,0
4038083,M1L,2026-05-29,1549.8591834097517,1419.6639800766459,130.19520333310584,12.0,1.0,11.0,40.29297784752521,-48.55759645695025,88.85057430447546,1.5280234576345602,-1.533261335783408,3.0612847934179683,1491.6109656342849,1501.2908108926088,-9.679845258323894,2.3333333333333335,0.5,1.8333333333333335,7,35,-28
4038084,M1L,2026-05-29,1515.73666006222,1561.0357248143964,-45.29906475217649,8.0,10.0,-2.0,12.422750480723835,3.28150066757712,9.141249813146715,0.10133326402904763,0.2875798138280419,-0.18624654979899424,1461.26135507906,1472.7625638597358,-11.501208780675825,2.0,,,7,35,-28
4038085,M1L,2026-05-29,1430.0877643828915,1497.6484067831225,-67.56064240023102,2.0,9.0,-7.0,-5.518069772744866,-6.938849144340111,1.4207793715952448,-0.874443724017298,0.1271626249869504,-1.0016063490042484,1523.2567419641196,1494.318060359978,28.938681604141493,1.125,2.3333333333333335,-1.2083333333333335,35,35,0
4038086,M1L,2026-05-31,1554.8531831160924,1432.1002714718957,122.75291164419673,10.0,3.0,7.0,7.90307523004617,-27.721838256534056,35.624913486580226,0.9610481350750852,-0.5747376510340876,1.5357857861091728,1489.8833179072035,1522.4277815603136,-32.54446365311014,3.0,0.375,2.625,36,36,0
4038087,M1L,2026-05-31,1483.9902501072997,1503.319799430302,-19.32954932300231,9.0,9.0,0.0,5.012778461850303,17.458881988954317,-12.446103527104015,0.8533899193966996,0.3359977726957418,0.5173921467009578,1513.7381367762937,1479.797078044957,33.941058731336625,1.2,0.75,0.44999999999999996,8,35,-27
4038089,M1L,2026-06-05,1442.3488585074679,1555.8761224148961,-113.52726390742828,4.0,12.0,-8.0,-8.725555251838841,42.68950198837388,-51.41505724021272,-0.5325533276327437,1.1469759156924115,-1.6795292433251552,1520.1254909756394,1466.1537400724048,53.97175090323458,1.125,2.3333333333333335,-1.2083333333333335,36,8,28
4038090,M1L,2026-06-05,1527.2292105505358,1485.387312658546,41.841897891989674,10.0,6.0,4.0,13.924548825012835,-9.209191124889685,23.13373994990252,0.7491780598483309,-0.7991390504098504,1.5483171102581812,1483.253617290078,1481.2844426594356,1.9691746306423283,2.3333333333333335,3.0,-0.6666666666666665,8,36,-28
4038091,M1L,2026-06-06,1492.718125862551,1494.5919236750508,-1.873797812499788,9.0,9.0,0.0,-2.537727023053094,31.08303163327173,-33.620758656324824,0.3096841275788984,0.7147873750648299,-0.4051032474859315,1477.6758273097298,1522.4376747166682,-44.76184740693839,1.0,1.5,-0.5,36,9,27
4038043,M1L,2026-06-08,1566.0418458970953,1511.8091133341748,54.232732562920546,15.0,10.0,5.0,37.69314545881707,2.560176219998766,35.132969238818305,2.0461927055676075,0.5661968603940898,1.4799958451735176,1457.5663704137671,1484.8436744870883,-27.277304073321147,2.3333333333333335,3.0,-0.6666666666666665,9,9,0
4038092,M1L,2026-06-09,1413.6470410715015,1549.5431743260806,-135.89613325457913,1.0,7.0,-6.0,-42.81521106394598,-4.590634956442955,-38.224576107503026,-1.496482161073505,-0.4787614231093691,-1.017720737964136,1500.4358857180544,1484.6174454450904,15.818440272963926,0.0,,,36,36,0
4038093,M1L,2026-06-12,1550.2326675221268,1502.7290412608832,47.50362626124365,12.0,9.0,3.0,33.299446558654154,17.44333446022597,15.856112098428184,1.0690821749484472,0.2511606243925131,0.8179215505559341,1470.9869087932766,1470.924471957084,0.06243683619254625,3.0,2.0,1.0,10,37,-27
4038094,M1L,2026-06-12,1500.807409874907,1549.0653251186984,-48.25791524379133,6.0,11.0,-5.0,-3.759239993475603,17.277297244408146,-21.03653723788375,-0.6096022322997181,1.1728546177552412,-1.7824568500549594,1480.372679194685,1475.3900422279062,4.982636966778728,3.0,3.0,0.0,37,37,0
4038095,M1L,2026-06-13,1546.9627301112132,1432.1831350252687,114.77959508594449,5.0,4.0,1.0,-14.070718369492397,-22.94700334538493,8.876284975892531,-1.0206014709799835,-0.5218036004732354,-0.4987978705067482,1476.32082598526,1519.0940257624777,-42.77319977721777,,1.0,,37,37,0
4038096,M1L,2026-06-14,1484.5810082767186,1437.8881294692897,46.692878807429,6.0,3.0,3.0,7.143981603223665,-8.00584562742415,15.149827230647816,-0.16185695109314474,-0.2532125205160006,0.09135556942285589,1519.1315124663429,1543.485895596079,-24.354383129736107,1.8,0.5,1.3,10,37,-27
4038097,M1L,2026-06-15,1416.2274852863688,1527.6182917091433,-111.3908064227744,1.0,10.0,-9.0,-33.33512765089654,29.39790302442634,-62.73303067532288,-1.4693280327473692,0.81253208560949,-2.2818601183568594,1521.1657255639277,1498.7118064114145,22.45391915251321,0.14285714285714285,3.0,-2.857142857142857,37,10,27
4038098,M1L,2026-06-26,1441.461543790933,1405.9896284077336,35.47191538319953,3.0,1.0,2.0,-2.5036861707405933,-45.50172966457194,42.99804349383135,-0.35067992021992567,-1.4015846362192916,1.050904715999366,1526.1106641684762,1523.6018112157362,2.5088529527399714,0.625,0.14285714285714285,0.48214285714285715,38,38,0
4038099,M1L,2026-06-26,1561.4707280199748,1481.0075939550752,80.46313406489958,11.0,7.0,4.0,40.55391372740223,-7.457981147878854,48.01189487528109,1.3197406475380684,0.05925654327539426,1.2604841042626742,1477.858409182297,1502.5257755016864,-24.66736631938943,3.0,1.8,1.2,38,11,27
4038100,M1L,2026-06-27,1537.8561485877785,1558.63375185706,-20.77760326928137,12.0,12.0,0.0,29.73862693326282,34.059056533695866,-4.3204296004330445,1.4029914691557055,0.8298243305992343,0.5731671385564712,1491.9817310934461,1466.0724046763717,25.909326417074453,3.0,3.0,0.0,11,11,0
4038101,M1L,2026-06-27,1553.3885233133906,1494.32795692595,59.06056638744053,7.0,9.0,-2.0,-18.068642101342448,-2.3732293495127124,-15.695412751829735,-0.5065004244501868,0.3134959841785864,-0.8199964086287732,1473.964406997979,1481.326927724566,-7.362520726587036,,1.5,,38,38,0
4038102,M1L,2026-06-28,1425.7573418230913,1488.4020069736307,-62.64466515053937,4.0,3.0,1.0,-18.949079613534877,-27.03585647646969,8.086776862934812,-0.47115021890182013,-1.6208147863241091,1.149664567422289,1525.099927592026,1499.8874726039635,25.212454988062518,0.625,2.25,-1.625,38,38,0
4038103,M1L,2026-07-03,1476.3106652395215,1397.2065467351683,79.10411850435321,3.0,1.0,2.0,-50.99089660588788,-42.42111294182814,-8.569783664059742,-1.5353176669405681,-1.4170725031523252,-0.1182451637882429,1480.124001903909,1514.53330931279,-34.40930740888098,2.0,0.14285714285714285,1.8571428571428572,39,39,0
4038104,M1L,2026-07-03,1571.9827197115678,1549.4300674610497,22.552652250518122,12.0,5.0,7.0,33.2647517888895,-16.114466039145555,49.37921782803505,0.9218140125756717,-1.1341473046368256,2.055961317212497,1482.8814283533898,1476.9129109998757,5.968517353514017,3.0,,,12,39,-27
4038105,M1L,2026-07-04,1498.286412778291,1568.8674112332021,-70.5809984549112,7.0,13.0,-6.0,11.482359472626968,39.0704587541411,-27.588099281514133,0.12795777526893715,1.6749020549484732,-1.546944279679536,1504.0791004518449,1486.6469385579646,17.43216189388022,1.4,3.0,-1.6,39,39,0
4038106,M1L,2026-07-05,1473.6109107418479,1524.5071807332706,-50.89626999142274,7.0,9.0,-2.0,-5.974526174617722,20.322827405228963,-26.297353579846686,0.2137726290633586,0.3654383612937787,-0.15166573223042012,1501.7110144056423,1517.4652241026931,-15.754209697050783,1.5,2.0,-0.5,12,12,0
4038108,M1L,2026-07-10,1569.1839249308507,1483.7474398039833,85.43648512686741,10.0,6.0,4.0,19.324741521098986,-29.41084944211184,48.735590963210825,0.5544917714981051,-0.5792069574641315,1.1336987289622367,1508.8346458302706,1465.8692377220773,42.96540810819329,3.0,1.5,1.5,13,40,-27
4038109,M1L,2026-07-10,1580.5020694356595,1437.8486835572005,142.65338587845895,13.0,6.0,7.0,51.832307521220855,0.7837364804656772,51.04857104075518,1.5091012318034762,-0.014310586839864081,1.5234118186433403,1470.974300559156,1516.8209384909396,-45.84663793178356,3.0,0.875,2.125,40,39,1
4038110,M1L,2026-07-11,1512.8215404874827,1486.6517545758336,26.169785911649114,6.0,4.0,2.0,-2.9151195747372185,-8.563671596002678,5.648552021265459,-0.6003195859605435,-0.6945018689361911,0.09418228297564768,1499.9802612881836,1530.2141551702139,-30.233893882030316,2.0,0.8,1.2,13,40,-27
4038111,M1L,2026-07-11,1389.7697721707066,1485.2965509876358,-95.52677881692921,1.0,7.0,-6.0,-41.446514640117584,16.816183343308694,-58.26269798342628,-1.2455919960808028,0.05442920334732926,-1.300021199428132,1508.9585716950862,1503.9807927030777,4.9777789920085524,0.125,1.5,-1.375,40,13,27
4038112,M1L,2026-07-11,1450.2446254634983,1552.2288622417668,-101.9842367782685,5.0,6.0,-1.0,0.36676358728686864,-24.420740530566945,24.787504117853814,-0.14860019746612574,-0.36695260719289013,0.2183524097267644,1505.6850855191199,1485.5755025593019,20.109582959818,0.7142857142857143,1.0,-0.2857142857142857,39,40,-1
4038113,M1L,2026-07-15,1562.7857953222626,1484.0737583655348,78.71203695672784,9.0,5.0,4.0,1.7500705078662122,0.08350825823504238,1.6665622496311698,0.5517758748409297,-0.43825688789650963,0.9900327627374393,1472.4770956395573,1481.2707872511585,-8.793691611601162,1.0,1.8,-0.8,41,14,27
4038114,M1L,2026-07-17,1432.1492562793217,1390.9925647928076,41.15669148651409,6.0,2.0,4.0,-6.042881362035587,-28.671415283838314,22.628533921802727,0.08589549568459454,-0.9439365116122447,1.0298320072968392,1533.8782671437043,1496.046045210663,37.83222193304141,0.875,0.25,0.625,40,41,-1
4038115,M1L,2026-07-17,1439.6876923830025,1521.9049007068597,-82.21720832385722,5.0,9.0,-4.0,-14.123337819683002,-5.324309843676019,-8.799027976006982,-0.12425509719206379,0.4206578071952014,-0.5449129043872651,1508.3872643829375,1500.233149671641,8.154114711296415,0.5714285714285714,2.0,-1.4285714285714286,40,14,26
4038116,M1L,2026-07-18,1477.5683943564566,1476.496442546507,1.0719518099494962,4.0,6.0,-2.0,-25.75140507384549,-21.151964236615413,-4.599440837230077,-0.6312388127539327,-0.3704529213349629,-0.2607858914189698,1535.9804132462507,1493.688469831669,42.29194341458174,0.8,1.0,-0.19999999999999996,41,41,0
4038117,M1L,2026-07-18,1576.434922188327,1586.2014967135383,-9.766574525211354,10.0,13.0,-3.0,20.558799773430792,41.91785684116235,-21.359057067731555,0.4330448454679826,1.3061797332269078,-0.8731348877589252,1517.114362089574,1470.0100743274738,47.10428776210006,,3.0,,14,41,-27
3747951,NL,2025-04-26,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
3747952,NL,2025-04-26,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
3747953,NL,2025-04-26,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
3747954,NL,2025-04-26,1500.0,1500.0,0.0,,,,,,,,,,,,,,,,0,0,0
3747955,NL,2025-05-03,1514.0519682881234,1490.0519682881234,24.0,3.0,0.0,3.0,,,,0.5854986786718095,-0.4145013213281905,1.0,1500.0,1500.0,0.0,,,,1,1,0
3747956,NL,2025-05-03,1485.9480317118766,1509.9480317118766,-24.0,0.0,3.0,-3.0,,,,-0.5854986786718095,0.4145013213281905,-1.0,1500.0,1500.0,0.0,,,,1,1,0
3747957,NL,2025-05-03,1509.9480317118766,1514.0519682881234,-4.103936576246724,3.0,3.0,0.0,,,,0.4145013213281905,0.5854986786718095,-0.17099735734361898,1500.0,1500.0,0.0,,,,1,1,0
3747958,NL,2025-05-04,1490.0519682881234,1485.9480317118766,4.103936576246724,0.0,0.0,0.0,,,,-0.4145013213281905,-0.5854986786718095,0.17099735734361898,1500.0,1500.0,0.0,,,,1,1,0
3747959,NL,2025-05-09,1487.8626834311938,1496.7090665764135,-8.846383145219761,1.0,3.0,-2.0,,,,-0.5057215237002531,-0.13712222598277002,-0.3685992977174831,1492.9740158559384,1504.9740158559384,-12.0,,3.0,,2,2,0
3747960,NL,2025-05-11,1504.8979872182601,1488.1373165688062,16.760670649453914,3.0,1.0,2.0,,,,0.20408280076084018,-0.49427847629974686,0.698361277060587,1507.0259841440616,1495.0259841440616,12.0,3.0,1.0,2.0,2,2,0
3747961,NL,2025-05-11,1515.9660641972173,1499.2059493579866,16.76011483923071,4.0,3.0,1.0,,,,0.6652526748840536,-0.033085443417221194,0.6983381183012748,1504.9740158559384,1495.0259841440616,9.948031711876865,,,,2,2,0
3747962,NL,2025-05-11,1508.0339358027827,1499.1869968473397,8.846938955442965,4.0,3.0,1.0,,,,0.3347473251159464,-0.033875131360848965,0.36862245647679537,1507.0259841440616,1492.9740158559384,14.051968288123135,1.0,,,2,2,0
3747963,NL,2025-05-17,1489.8148393007812,1501.5342433907301,-11.719404089948966,3.0,4.0,-1.0,,,,-0.42438169580078167,0.06392680794708427,-0.48830850374786594,1502.006010828447,1497.993989171553,4.012021656893921,0.0,1.0,-1.0,3,3,0
3747964,NL,2025-05-17,1478.7462248012334,1510.463193311496,-31.71696851026263,1.0,6.0,-5.0,,,,-0.8855739666152801,0.4359663879790069,-1.321540354594287,1498.316651835461,1499.2702383810235,-0.9535865455625299,0.5,3.0,-2.5,3,3,0
3747965,NL,2025-05-17,1505.6866892593923,1474.1085566961112,31.578132563281088,5.0,1.0,4.0,,,,0.23694538580801316,-1.07881013766203,1.315755523470043,1504.4129883784874,1494.2190327627634,10.193955615724008,1.0,0.0,1.0,3,3,0
3747966,NL,2025-05-17,1514.289078985833,1525.3571742544227,-11.068095268589786,6.0,7.0,-1.0,,,,0.5953782910763734,1.056548927267614,-0.46117063619124066,1500.7297616189765,1503.0513270232877,-2.3215654043112863,3.0,,,3,3,0
3747967,NL,2025-05-22,1465.200282518976,1488.1579381627105,-22.95765564373437,1.0,4.0,-3.0,,,,-1.4499882283759913,-0.4934192432203952,-0.9565689851555961,1497.0859468869207,1501.8880689690177,-4.8021220820969575,0.0,0.5,-0.5,4,4,0
3747968,NL,2025-05-24,1539.0361361972682,1465.7715156151494,73.26462058211882,10.0,1.0,9.0,,,,1.6265056748861806,-1.4261868493687848,3.052692524254965,1505.860765013924,1501.3532872044698,4.507477809454258,,0.3333333333333333,,4,4,0
3747969,NL,2025-05-24,1503.1911445288008,1500.6101170429874,2.5810274858133653,5.0,6.0,-1.0,,,,0.13296435536669782,0.025421543457806894,0.10754281190889092,1495.9492017038601,1506.886614777838,-10.93741307397795,1.0,1.5,-0.5,4,4,0
3747970,NL,2025-05-24,1523.4379024975801,1514.5949634365275,8.842939061052675,9.0,8.0,1.0,,,,0.9765792707325116,0.6081234765219744,0.3684557942105372,1494.139234986076,1496.8368804578934,-2.6976454718173954,3.0,1.0,2.0,4,4,0
3747971,NL,2025-06-07,1490.7485128592662,1451.9257109933544,38.82280186591174,6.0,1.0,5.0,-9.251487140733843,-48.074289006645586,38.82280186591174,-0.38547863086391765,-2.003095375276895,1.6176167444129774,1506.1475207280305,1495.3003451420786,10.847175585951845,1.0,0.0,1.0,5,5,0
3747972,NL,2025-06-07,1501.4325096883322,1533.090788820151,-31.658279131818745,7.0,12.0,-5.0,1.4325096883321748,33.09078882015092,-31.658279131818745,0.05968790368050847,1.3787828675062934,-1.319094963825785,1494.5505116790093,1498.230380676166,-3.6798689971567455,0.5,3.0,-2.5,5,5,0
3747973,NL,2025-06-07,1546.6465280506618,1513.052748712522,33.59377933813971,13.0,8.0,5.0,46.6465280506618,13.052748712522089,33.59377933813971,1.9436053354442506,0.5438645296884224,1.3997408057558283,1497.842915134169,1496.8813847716856,0.9615303624834723,,1.0,,5,5,0
3747974,NL,2025-06-07,1458.1611237617558,1504.9420771139567,-46.78095335220087,1.0,8.0,-7.0,-41.83887623824421,4.942077113956657,-46.78095335220087,-1.7432865099268549,0.2059198797481926,-1.9492063896750476,1508.8898570030294,1502.1570848658307,6.732772137198708,0.25,0.5,-0.25,5,5,0
